COSMIC_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG61535	DNAJC19P9	ENSG00000258608.1		45072	n	n
COSG60416	MPI	ENSG00000178802.17	4351	7216	n	n
COSG60432	TTF1	ENSG00000125482.12	7270	12397	n	n
COSG57816	SEC22B	ENSG00000265808.3	9554	10700	n	n
COSG57817	NDUFS5P3	ENSG00000233664.1		44041	n	n
COSG57873	AL162431.4	ENSG00000270711.1			n	n
COSG58734	DACT3-AS1	ENSG00000245598.6		44120	n	n
COSG58759	PALM3	ENSG00000187867.8	342979	33274	n	n
COSG58766	AC010547.3	ENSG00000260520.1			n	n
COSG59315	CHDH	ENSG00000016391.10	55349	24288	n	n
COSG59318	TCTN2	ENSG00000168778.11	79867	25774	n	n
COSG59333	RF00425	ENSG00000252249.1			n	n
COSG59351	AL138885.2	ENSG00000228478.1			n	n
COSG59364	TNKS	ENSG00000173273.15	8658	11941	n	n
COSG59369	UQCC3	ENSG00000204922.4	790955	34399	n	n
COSG59385	CCND2P1	ENSG00000256847.1		1584	n	n
COSG60925	TIE1	ENSG00000066056.13	7075	11809	n	n
COSG60932	OR2T32P	ENSG00000197067.6		31254	n	n
COSG60938	ZSWIM5P2	ENSG00000231258.2		43769	n	n
COSG60955	AC234917.1	ENSG00000255343.1			n	n
COSG57891	TRAF3	ENSG00000131323.14	7187	12033	n	n
COSG58815	HOXC13	ENSG00000123364.4	3229	5125	y	n
COSG58817	RNU6-560P	ENSG00000200877.1		47523	n	n
COSG58826	TAF10	ENSG00000166337.9	6881	11543	n	n
COSG59391	FCGR2A	ENSG00000143226.13	2212	3616	n	n
COSG59400	PPM1M	ENSG00000164088.17	132160	26506	n	n
COSG59406	AC244093.1	ENSG00000274308.1			n	n
COSG59415	OR8J1	ENSG00000172487.4	219477	14855	n	n
COSG59446	LARP1BP2	ENSG00000243438.1		44084	n	n
COSG59448	AC044873.1	ENSG00000266273.1			n	n
COSG59935	CCL3	ENSG00000277632.1	6348	10627	n	n
COSG59951	AC133552.2	ENSG00000262587.2			n	n
COSG59983	CEACAM22P	ENSG00000230666.5		38029	n	n
COSG57963	CYSTM1	ENSG00000120306.10	84418	30239	n	n
